libcodec2-1.2_1.2.0-2build1_amd64.deb	8998330
libgd3_2.3.3-9ubuntu5_i386.deb	133208
libfreetype6_2.13.2+dfsg-1ubuntu0.1_i386.deb	411966
mesa-utils-bin_9.0.0-2_amd64.deb	164440
libavahi-common-data_0.8-13ubuntu6.2_i386.deb	30048
libcrypt1_1%3a4.4.36-4build1_i386.deb	91866
libkeyutils1_1.6.3-3build1_i386.deb	9918
libssl3t64_3.0.13-0ubuntu3.15_i386.deb	1924298
libva-x11-2_2.20.0-2ubuntu0.2_i386.deb	12952
gcc-14-base_14.2.0-4ubuntu2~24.04.1_i386.deb	50950
libaom3_3.8.2-2ubuntu0.1_i386.deb	2059598
libxcb-dri3-0_1.15-1ubuntu2_i386.deb	7388
libheif-plugin-aomdec_1.17.6-1ubuntu4.8_i386.deb	11854
libudev1_255.4-1ubuntu8.17_i386.deb	181112
libpangoft2-1.0-0_1.52.1+ds-1build1_i386.deb	47260
libva2_2.20.0-2ubuntu0.2_i386.deb	70986
libasyncns0_0.8-6build4_i386.deb	11696
openssh-server_1%3a9.6p1-3ubuntu13.19_amd64.deb	511342
ocl-icd-libopencl1_2.3.2-1build1_i386.deb	41212
libx264-164_2%3a0.164.3108+git31e19f9-1_amd64.deb	603814
libavutil58_7%3a6.1.1-3ubuntu5_amd64.deb	401184
libunistring5_1.1-2build1.1_i386.deb	546830
libgraphite2-3_1.3.14-2ubuntu0.24.04.1_i386.deb	80478
libkrb5support0_1.20.1-6ubuntu2.8_amd64.deb	34688
libva2_2.20.0-2ubuntu0.2_amd64.deb	66362
libcodec2-1.2_1.2.0-2build1_i386.deb	8281106
libblkid1_2.39.3-9ubuntu6.6_i386.deb	194026
libudfread0_1.1.2-1build1_amd64.deb	18980
libvorbisenc2_1.3.7-1build3_i386.deb	73736
libdav1d7_1.4.1-1build1_i386.deb	361870
libva-x11-2_2.20.0-2ubuntu0.2_amd64.deb	12028
openssh-sftp-server_1%3a9.6p1-3ubuntu13.19_amd64.deb	37122
libtwolame0_0.4.0-2build3_i386.deb	50226
